branch,buy,crawl_mode,currency,date,gold_type,provider,raw_hash,reference_date,sell,source,spread,timestamp,unit
Hồ Chí Minh,149200000.0,raw_range,VND,2026-06-06,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,153200000.0,sjc_official,4000000.0,2026-06-05T17:00:00+00:00,VND/lượng
Hồ Chí Minh,146200000.0,raw_range,VND,2026-06-06,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,150200000.0,sjc_official,4000000.0,2026-06-06T01:37:56.010000+00:00,VND/lượng
Hồ Chí Minh,145900000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,149900000.0,sjc_official,4000000.0,2026-06-08T01:30:53.037000+00:00,VND/lượng
Hồ Chí Minh,145600000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,149600000.0,sjc_official,4000000.0,2026-06-08T01:44:25.207000+00:00,VND/lượng
Hồ Chí Minh,145000000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,149000000.0,sjc_official,4000000.0,2026-06-08T02:24:17.420000+00:00,VND/lượng
Hồ Chí Minh,144500000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148500000.0,sjc_official,4000000.0,2026-06-08T02:54:46.840000+00:00,VND/lượng
Hồ Chí Minh,143500000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147500000.0,sjc_official,4000000.0,2026-06-08T04:34:18.623000+00:00,VND/lượng
Hồ Chí Minh,142500000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146500000.0,sjc_official,4000000.0,2026-06-08T06:04:46.777000+00:00,VND/lượng
Hồ Chí Minh,141500000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146500000.0,sjc_official,5000000.0,2026-06-08T06:37:39.463000+00:00,VND/lượng
Hồ Chí Minh,140000000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,145000000.0,sjc_official,5000000.0,2026-06-08T07:08:16.060000+00:00,VND/lượng
