build_timestamp,data_lineage,effective_from,effective_to,event_date,event_type,expected_channel,is_active,note,scope,severity,source,source_url
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-20,,2011-01-20,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-21,,2011-01-21,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-22,,2011-01-22,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-23,,2011-01-23,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-24,,2011-01-24,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-25,,2011-01-25,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-26,,2011-01-26,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-27,,2011-01-27,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-13T11:40:45.441481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-28,,2011-01-28,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-29,,2011-01-29,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-30,,2011-01-30,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-31,,2011-01-31,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-02-01,,2011-02-01,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-02-02,,2011-02-02,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-02-03,,2011-02-03,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-09,,2012-01-09,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-10,,2012-01-10,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-11,,2012-01-11,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-13T11:40:45.442481,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-12,,2012-01-12,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
