asset,available_from,date,high,low,note,open,series_id,source,unit,value,volume
gold_futures_front_continuous,2010-01-05,2010-01-04,1122.3,1097.1,no_shares_outstanding,1117.7,GC=F,yfinance_ticker_v2,usd_per_share,1117.7,184.0
gold_futures_front_continuous,2010-01-06,2010-01-05,1126.5,1115.0,no_shares_outstanding,1118.1,GC=F,yfinance_ticker_v2,usd_per_share,1118.1,53.0
gold_futures_front_continuous,2010-01-07,2010-01-06,1139.2,1120.7,no_shares_outstanding,1135.9,GC=F,yfinance_ticker_v2,usd_per_share,1135.9,363.0
gold_futures_front_continuous,2010-01-08,2010-01-07,1133.1,1129.2,no_shares_outstanding,1133.1,GC=F,yfinance_ticker_v2,usd_per_share,1133.1,56.0
gold_futures_front_continuous,2010-01-09,2010-01-08,1138.2,1122.7,no_shares_outstanding,1138.2,GC=F,yfinance_ticker_v2,usd_per_share,1138.2,54.0
gold_futures_front_continuous,2010-01-12,2010-01-11,1161.2,1143.0,no_shares_outstanding,1150.7,GC=F,yfinance_ticker_v2,usd_per_share,1150.7,177.0
gold_futures_front_continuous,2010-01-13,2010-01-12,1157.2,1127.2,no_shares_outstanding,1128.9,GC=F,yfinance_ticker_v2,usd_per_share,1128.9,51.0
gold_futures_front_continuous,2010-01-14,2010-01-13,1136.4,1121.0,no_shares_outstanding,1136.4,GC=F,yfinance_ticker_v2,usd_per_share,1136.4,58.0
gold_futures_front_continuous,2010-01-15,2010-01-14,1145.9,1132.8,no_shares_outstanding,1137.0,GC=F,yfinance_ticker_v2,usd_per_share,1142.6,81.0
gold_futures_front_continuous,2010-01-16,2010-01-15,1133.4,1127.2,no_shares_outstanding,1132.8,GC=F,yfinance_ticker_v2,usd_per_share,1130.1,50.0
gold_futures_front_continuous,2010-01-20,2010-01-19,1139.7,1130.5,no_shares_outstanding,1139.7,GC=F,yfinance_ticker_v2,usd_per_share,1139.7,22.0
gold_futures_front_continuous,2010-01-21,2010-01-20,1133.0,1109.8,no_shares_outstanding,1123.3,GC=F,yfinance_ticker_v2,usd_per_share,1112.3,28.0
gold_futures_front_continuous,2010-01-22,2010-01-21,1107.5,1090.2,no_shares_outstanding,1102.7,GC=F,yfinance_ticker_v2,usd_per_share,1102.7,99.0
gold_futures_front_continuous,2010-01-23,2010-01-22,1095.4,1083.0,no_shares_outstanding,1089.2,GC=F,yfinance_ticker_v2,usd_per_share,1089.2,58.0
