asset,date,raw_hash,series_id,source,unit,value
vnindex,2010-12-21,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,481.8
vnindex,2010-12-22,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,481.5
vnindex,2010-12-23,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,475.4
vnindex,2010-12-24,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,472.8
vnindex,2010-12-27,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,473.1
vnindex,2010-12-28,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,479.3
vnindex,2010-12-29,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,478.8
vnindex,2010-12-30,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,481.4
vnindex,2010-12-31,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,484.7
vnindex,2011-01-04,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,486.0
vnindex,2011-01-05,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,481.9
vnindex,2011-01-06,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,482.3
vnindex,2011-01-07,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,481.9
vnindex,2011-01-10,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,481.9
vnindex,2011-01-11,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,477.4
vnindex,2011-01-12,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,478.5
vnindex,2011-01-13,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,484.1
vnindex,2011-01-14,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,489.2
vnindex,2011-01-17,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,495.2
vnindex,2011-01-18,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,497.4
vnindex,2011-01-19,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,505.9
vnindex,2011-01-20,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,512.0
vnindex,2011-01-21,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,519.5
vnindex,2011-01-24,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,509.9
vnindex,2011-01-25,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,502.0
vnindex,2011-01-26,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,501.3
vnindex,2011-01-27,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,502.7
vnindex,2011-01-28,93ca83f36efa4e6e9b40a74c1402f984f855fa2e70ed2b6edac9bcc303af49b2,VNINDEX,vnstock_vci,index,510.6
