iter	Quantile:alpha=0.1
0	0.01038751632
1	0.01022880118
2	0.01008552525
3	0.009965120412
4	0.009873296155
5	0.009752922862
6	0.009653731233
7	0.009528446172
8	0.009428883435
9	0.009324574457
10	0.009233751887
11	0.009151740388
12	0.009056455051
13	0.008984741572
14	0.008892599989
15	0.00881415132
16	0.008742956614
17	0.008660094657
18	0.008576512469
19	0.00848616511
20	0.00843243674
21	0.008378569061
22	0.008299835808
23	0.008251550858
24	0.00820910041
25	0.008147714466
26	0.008101398358
27	0.008045592893
28	0.008002103159
29	0.007966790485
30	0.007924864234
31	0.00788313954
32	0.007846370093
33	0.007794040584
34	0.007750369975
35	0.007719048918
36	0.007687168521
37	0.00765664429
38	0.00762226078
39	0.007575375039
40	0.007541082987
41	0.007508718172
42	0.007462985723
43	0.007429566751
44	0.007390415836
45	0.007371331671
46	0.007341002809
47	0.007309818924
48	0.007274405959
49	0.007234898494
50	0.007209258958
51	0.00717879407
52	0.007155031875
53	0.007134452717
54	0.007101879103
55	0.00707175466
56	0.007037012689
57	0.007008368086
58	0.006981521671
59	0.006944879407
60	0.006921036
61	0.006901459885
62	0.006866683511
63	0.00684257665
64	0.006815697324
65	0.006781313117
66	0.006766752191
67	0.006735277386
68	0.006699832366
69	0.006683542218
70	0.006668214342
71	0.006643417843
72	0.006627770746
73	0.006617034944
74	0.006598186757
75	0.006581335211
76	0.006565977171
77	0.006550850971
78	0.006533720686
79	0.006517839066
80	0.006504099555
81	0.006491917767
82	0.006471759376
83	0.00645036284
84	0.006434436256
85	0.006422838157
86	0.006404570752
87	0.006384167374
88	0.006374038839
89	0.006362728925
90	0.006349810864
91	0.006330563111
92	0.00632057562
93	0.006299489071
94	0.006274335374
95	0.006253606409
96	0.006237464268
97	0.006229805108
98	0.006220289237
99	0.006211371302
100	0.006198935352
101	0.006188433392
102	0.006178678984
103	0.006170542486
104	0.00615900506
105	0.006148768707
106	0.006139858179
107	0.006129433584
108	0.006118641495
109	0.006090728034
110	0.006079328344
111	0.006070204206
112	0.006046126524
113	0.00602949539
114	0.00601767468
115	0.00600706765
116	0.005990154146
117	0.00598307245
118	0.005964005943
119	0.005947255083
120	0.005941401556
121	0.005927899313
122	0.005914821704
123	0.00590057527
124	0.00587972111
125	0.005872614072
126	0.005857438216
127	0.005849528104
128	0.005842187913
129	0.005821398513
130	0.005808088775
131	0.005787993989
132	0.00578071073
133	0.005760657819
134	0.005750003477
135	0.005740002675
136	0.005726846701
137	0.005720213634
138	0.005706882451
139	0.005701711589
140	0.005687093127
141	0.005680339561
142	0.005668269397
143	0.005659798562
144	0.005650284372
145	0.005635276616
146	0.005629812634
147	0.005621792041
148	0.00560751802
149	0.005596295804
150	0.005584806435
151	0.00557515488
152	0.005566857109
153	0.005551238478
154	0.005546015583
155	0.005539099176
156	0.005532211284
157	0.005528746675
158	0.005515686592
159	0.005500325694
160	0.005491149768
161	0.005485492692
162	0.005468557576
163	0.005460039615
164	0.005455033754
165	0.005445661003
166	0.005438438337
167	0.005429976259
168	0.005425631433
169	0.005417677818
170	0.005412175424
171	0.005407288976
172	0.005403277135
173	0.005393244054
174	0.005388398762
175	0.0053772947
176	0.005372471525
177	0.005368889803
178	0.005361168883
179	0.005349881693
180	0.005341564895
181	0.005337993252
182	0.005330274286
183	0.00532593135
184	0.005323249678
185	0.005318477944
186	0.005312533025
187	0.005306149288
188	0.005296358034
189	0.005289372404
190	0.005278674341
191	0.005273655796
192	0.005270080763
193	0.005261614146
194	0.005252886519
195	0.005246806583
196	0.005238409427
197	0.005236065149
198	0.005229038966
199	0.005221825217
200	0.005216443768
201	0.005210323643
202	0.005205755928
203	0.005200280068
204	0.005193426105
205	0.005190232016
206	0.005184268793
207	0.005177373257
208	0.005173737941
209	0.005165900283
210	0.005161192994
211	0.005154579062
212	0.005152084489
213	0.00514999307
214	0.005139933721
215	0.00513528411
216	0.00513219728
217	0.00512933785
218	0.005122943052
219	0.005118425756
220	0.005111847874
221	0.005108799857
222	0.005106181485
223	0.005101962612
224	0.005095166015
225	0.005090540939
226	0.00508735006
227	0.005084245704
228	0.005080143473
229	0.005075151676
230	0.00506903495
231	0.005066159783
232	0.005058550351
233	0.00505312525
234	0.005049130939
235	0.005043805629
236	0.005038729494
237	0.005032882884
238	0.00502964444
239	0.005023875521
240	0.005013201713
241	0.005004763882
242	0.004999465597
243	0.004993625114
244	0.00499115614
245	0.004986672358
246	0.004982092636
247	0.004972303251
248	0.004968546218
249	0.004966541521
250	0.004963809835
251	0.00495929858
252	0.004954863279
253	0.004951361093
254	0.004950044901
255	0.004943761511
256	0.004939243861
257	0.004937827738
258	0.004931643585
259	0.004926783797
260	0.004921334919
261	0.004918340072
262	0.004914967199
263	0.004905439428
264	0.004903628275
265	0.004900572635
266	0.00489636647
267	0.004888765922
268	0.004885862986
269	0.004879205707
270	0.004875654251
271	0.004866329808
272	0.004863558779
273	0.004860352651
274	0.004856923828
275	0.004853504165
276	0.004850505649
277	0.004847555306
278	0.004843606679
279	0.004841144526
280	0.004837517172
281	0.004831335664
282	0.004827197222
283	0.004822758309
284	0.004816349747
285	0.004805794053
286	0.004803443313
287	0.004801306791
288	0.00479755579
289	0.004793593158
290	0.004789965131
291	0.004786386018
292	0.004782735551
293	0.004780072769
294	0.004776727383
295	0.004773502428
296	0.004770579202
297	0.004767944888
298	0.004765381606
299	0.004758793431
