buy,date,document_number,mid,pair,published_at,quote_type,raw_hash,sell,source
17815.85,2026-07-08,,18283.97,AUD/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,18572.13,vietcombank_fx_xml
18039.77,2026-07-08,,18513.77,CAD/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,18805.55,vietcombank_fx_xml
31826.06,2026-07-08,,32662.305,CHF/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,33177.07,vietcombank_fx_xml
3771.85,2026-07-08,,3870.955,CNY/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,3931.96,vietcombank_fx_xml
3951.28,2026-07-08,,4026.825,DKK/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,4102.37,vietcombank_fx_xml
29314.66,2026-07-08,,30235.45,EUR/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,30860.13,vietcombank_fx_xml
34309.35,2026-07-08,,35210.84,GBP/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,35765.77,vietcombank_fx_xml
3258.89,2026-07-08,,3354.745,HKD/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,3417.68,vietcombank_fx_xml
274.13,2026-07-08,,280.03,INR/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,285.93,vietcombank_fx_xml
156.55,2026-07-08,,162.74,JPY/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,167.35,vietcombank_fx_xml
14.88,2026-07-08,,17.235,KRW/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,17.94,vietcombank_fx_xml
85010.58,2026-07-08,,87070.745,KWD/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,89130.91,vietcombank_fx_xml
6377.4,2026-07-08,,6446.77,MYR/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,6516.14,vietcombank_fx_xml
2632.11,2026-07-08,,2687.915,NOK/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,2743.72,vietcombank_fx_xml
324.64,2026-07-08,,342.0,RUB/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,359.36,vietcombank_fx_xml
6964.03,2026-07-08,,7113.885,SAR/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,7263.74,vietcombank_fx_xml
2675.82,2026-07-08,,2732.55,SEK/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,2789.28,vietcombank_fx_xml
19821.57,2026-07-08,,20363.07,SGD/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,20704.36,vietcombank_fx_xml
696.55,2026-07-08,,790.355,THB/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,806.76,vietcombank_fx_xml
26072.0,2026-07-08,,26282.0,USD/VND,,cash_transfer_sell,40a6c31c302dd90123a37e0cf10ac8e55a07125579c8a829ee58f7bfec3b3c06,26462.0,vietcombank_fx_xml
,2011-07-06,271/TB-NHNN,20613.0,USD/VND,2011-07-07T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-07,272/TB-NHNN,20613.0,USD/VND,2011-07-08T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-08,274/TB-NHNN,20608.0,USD/VND,2011-07-09T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-10,274/TB-NHNN,20608.0,USD/VND,2011-07-11T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-11,275/TB-NHNN,20608.0,USD/VND,2011-07-12T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-12,276/TB-NHNN,20608.0,USD/VND,2011-07-13T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-13,277/TB-NHNN,20608.0,USD/VND,2011-07-14T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
,2011-07-14,278/TB-NHNN,20608.0,USD/VND,2011-07-15T00:00:00Z,central_rate,055a09ad0e8fe3b239b246b62cfa385ff130784077a7c5cd20356dc5ca92ba0e,,sbv_central_fx_history
