date,series_id,value,unit,source,available_from,fix_type,gbp,eur,timestamp_raw
2026-07-16,LBMA_GOLD_AM_USD_OZ,4015.9,USD/oz,lbma_today_json,2026-07-16,AM,3001.48,3523.15,14/07 11:00:00
2026-07-16,LBMA_GOLD_PM_USD_OZ,4075.5,USD/oz,lbma_today_json,2026-07-16,PM,3037.47,3557.91,14/07 11:00:00
2026-07-16,LBMA_PALLADIUM_AM_USD_OZ,1269.15,USD/oz,lbma_today_json,2026-07-16,AM,948.94,1113.04,14/07 11:00:00
2026-07-16,LBMA_PALLADIUM_PM_USD_OZ,1281.0,USD/oz,lbma_today_json,2026-07-16,PM,955.37,1118.83,14/07 11:00:00
2026-07-16,LBMA_PLATINUM_AM_USD_OZ,1606.75,USD/oz,lbma_today_json,2026-07-16,AM,1201.21,1408.96,14/07 11:00:00
2026-07-16,LBMA_PLATINUM_PM_USD_OZ,1630.65,USD/oz,lbma_today_json,2026-07-16,PM,1215.98,1424.21,14/07 11:00:00
2026-07-16,LBMA_SILVER_USD_OZ,57.88,USD/oz,lbma_today_json,2026-07-16,daily,,,14/07 11:00:00
