trade_id,model_version,feature_date,signal_date,target_exit_date,entry_date,entry_sell_price,entry_buy_price,exit_date,exit_buy_price,expected_return,q10_downside,prob_positive,decision,exit_status,realized_net_return,spread_at_entry,source_forecast,source_prices,generated_at,horizon_months
vn_gold_20260711_1m_snapshot_forecast_v1,snapshot_forecast_v1,2026-07-11,2026-07-11,2026-08-11,2026-07-11,149900000.0,146900000.0,,,-0.0517143910552532,-0.0685306116065865,0.0072642105684024,no_buy,no_position,,3000000.0,C:\Users\admin\Documents\Lab Workplace\vn-gold-market-analysis\data\lake\modeling\snapshot_forecasts.csv,C:\Users\admin\Documents\Lab Workplace\vn-gold-market-analysis\data\lake\domestic_gold_quotes.csv,2026-07-16T02:57:28.935228+00:00,1.0
vn_gold_20260711_3m_snapshot_forecast_v1,snapshot_forecast_v1,2026-07-11,2026-07-11,2026-10-11,2026-07-11,149900000.0,146900000.0,,,0.0277025843487327,-0.0802303947452729,0.9108579486792876,buy,open,,3000000.0,C:\Users\admin\Documents\Lab Workplace\vn-gold-market-analysis\data\lake\modeling\snapshot_forecasts.csv,C:\Users\admin\Documents\Lab Workplace\vn-gold-market-analysis\data\lake\domestic_gold_quotes.csv,2026-07-16T02:57:28.936048+00:00,3.0
vn_gold_20260711_5m_snapshot_forecast_v1,snapshot_forecast_v1,2026-07-11,2026-07-11,2026-12-11,2026-07-11,149900000.0,146900000.0,,,0.0964738539025009,-0.0383526020847782,0.9999990714158942,buy,open,,3000000.0,C:\Users\admin\Documents\Lab Workplace\vn-gold-market-analysis\data\lake\modeling\snapshot_forecasts.csv,C:\Users\admin\Documents\Lab Workplace\vn-gold-market-analysis\data\lake\domestic_gold_quotes.csv,2026-07-16T02:57:28.936711+00:00,5.0
