date,phase,horizon_months,fold,selected_model,ensemble_return_forecast,prob_positive,q10_floor_return,buy_signal,buy_signal_any,signal_count_per_fold,fold_count,avg_actual_return,strategy_return,actual_net_return,prob_threshold,q10_floor
2023-01-30,validation,1,1,sarimax_exog,-0.0214795276748973,0.3155464441587552,-0.0305419430533461,False,False,0,1,-0.0236336779911373,0.0,-0.0236336779911373,0.5,-0.1
2023-01-31,validation,1,1,sarimax_exog,-0.0213985823732077,0.3161900317215838,-0.0323630405998767,False,False,0,1,-0.0221893491124259,0.0,-0.0221893491124259,0.5,-0.1
2023-02-01,validation,1,1,sarimax_exog,-0.0218468892399474,0.31263264033533,-0.0317025328298349,False,False,0,1,-0.0170623145400593,0.0,-0.0170623145400593,0.5,-0.1
2023-02-02,validation,1,1,sarimax_exog,-0.0212693218651888,0.3172189234253002,-0.0291502561898674,False,False,0,1,-0.0243362831858406,0.0,-0.0243362831858406,0.5,-0.1
2023-02-03,validation,1,1,sarimax_exog,-0.0202964618672703,0.3250076472544103,-0.0290149109034745,False,False,0,1,-0.0207407407407407,0.0,-0.0207407407407407,0.5,-0.1
2023-02-04,validation,1,1,sarimax_exog,-0.0209914097264534,0.3194358387851312,-0.0294958052462574,False,False,0,1,-0.0178041543026705,0.0,-0.0178041543026705,0.5,-0.1
2023-02-05,validation,1,1,sarimax_exog,-0.0213214588329746,0.3168037514078896,-0.0292251487133835,False,False,0,1,-0.0178041543026705,0.0,-0.0178041543026705,0.5,-0.1
2023-02-06,validation,1,1,sarimax_exog,-0.0215583353080888,0.3149203900086827,-0.0297846811386234,False,False,0,1,-0.015625,0.0,-0.015625,0.5,-0.1
2023-02-07,validation,1,1,sarimax_exog,-0.0171889274657303,0.3503891931577163,-0.0290403516950842,False,False,0,1,-0.020044543429844,0.0,-0.020044543429844,0.5,-0.1
2023-02-08,validation,1,1,sarimax_exog,-0.0225845308149685,0.3068172587483134,-0.030014231591445,False,False,0,1,-0.0244444444444444,0.0,-0.0244444444444444,0.5,-0.1
2023-02-09,validation,1,1,sarimax_exog,-0.0217074765196461,0.3137370557935104,-0.0315534031358437,False,False,0,1,-0.022271714922049,0.0,-0.022271714922049,0.5,-0.1
2023-02-10,validation,1,1,sarimax_exog,-0.0218392147241959,0.3126933935655411,-0.0311643132740993,False,False,0,1,-0.0215453194650817,0.0,-0.0215453194650817,0.5,-0.1
2023-02-11,validation,1,1,sarimax_exog,-0.0222895665580761,0.3091369636896435,-0.0311880087562383,False,False,0,1,-0.0207715133531157,0.0,-0.0207715133531157,0.5,-0.1
2023-02-12,validation,1,1,sarimax_exog,-0.0224734298488738,0.3076900956031897,-0.0313695800026121,False,False,0,1,-0.0207715133531157,0.0,-0.0207715133531157,0.5,-0.1
2023-02-13,validation,1,1,sarimax_exog,-0.0226281328164053,0.3064750092309599,-0.0296684544951389,False,False,0,1,-0.0148698884758364,0.0,-0.0148698884758364,0.5,-0.1
2023-02-14,validation,1,1,sarimax_exog,-0.0227136764196957,0.3058040337800418,-0.0313174936949704,False,False,0,1,-0.0170623145400593,0.0,-0.0170623145400593,0.5,-0.1
2023-02-15,validation,1,1,sarimax_exog,-0.0223998198065361,0.3082689949228185,-0.0315876635964701,False,False,0,1,-0.0156017830609211,0.0,-0.0156017830609211,0.5,-0.1
2023-02-16,validation,1,1,sarimax_exog,-0.0229373734032187,0.3040525121857298,-0.0297327199233668,False,False,0,1,-0.0156017830609211,0.0,-0.0156017830609211,0.5,-0.1
2023-02-17,validation,1,1,sarimax_exog,-0.0231844381141207,0.3021232384108188,-0.0288194218380105,False,False,0,1,-0.0126300148588409,0.0,-0.0126300148588409,0.5,-0.1
2023-02-18,validation,1,1,sarimax_exog,-0.0234188874040129,0.3002975748815319,-0.0285722663747113,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-02-19,validation,1,1,sarimax_exog,-0.0235613292597358,0.2991908167286438,-0.0286939387227885,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-02-20,validation,1,1,sarimax_exog,-0.0238296036766331,0.2971113957040772,-0.0288655137529112,False,False,0,1,-0.0059435364041604,0.0,-0.0059435364041604,0.5,-0.1
2023-02-21,validation,1,1,sarimax_exog,-0.0242929219727905,0.2935358209499343,-0.0318404525738929,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-02-22,validation,1,1,sarimax_exog,-0.0243114199519091,0.2933934807294822,-0.0306580564378127,False,False,0,1,-0.0096870342771981,0.0,-0.0096870342771981,0.5,-0.1
2023-02-23,validation,1,1,sarimax_exog,-0.0240879583718224,0.2951151325528536,-0.030978782284588,False,False,0,1,-0.0067164179104477,0.0,-0.0067164179104477,0.5,-0.1
2023-02-24,validation,1,1,sarimax_exog,-0.0264505675132157,0.2771529891268218,-0.0304606369347274,False,False,0,1,-0.0052238805970149,0.0,-0.0052238805970149,0.5,-0.1
2023-02-25,validation,1,1,sarimax_exog,-0.0266930737066067,0.2753400013106819,-0.0315899788309991,False,False,0,1,-0.0044843049327354,0.0,-0.0044843049327354,0.5,-0.1
2023-02-26,validation,1,1,sarimax_exog,-0.0267079912856294,0.2752286676193227,-0.0313741045259544,False,False,0,1,-0.0044843049327354,0.0,-0.0044843049327354,0.5,-0.1
2023-02-27,validation,1,1,sarimax_exog,-0.0267252425040945,0.2750999450222483,-0.0325929797664061,False,False,0,1,-0.0014981273408239,0.0,-0.0014981273408239,0.5,-0.1
2023-02-28,validation,1,1,sarimax_exog,-0.0267549420174273,0.2748784070592199,-0.0323574857179928,False,False,0,1,-0.0029940119760478,0.0,-0.0029940119760478,0.5,-0.1
2023-03-01,validation,1,1,sarimax_exog,-0.0265635542202508,0.2763075687474505,-0.0306323160681772,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-03-02,validation,1,1,sarimax_exog,-0.0271474289627044,0.2719590100958919,-0.0306241016763475,False,False,0,1,-0.0037397157816005,0.0,-0.0037397157816005,0.5,-0.1
2023-03-03,validation,1,1,sarimax_exog,-0.027504781849409,0.2693144286245027,-0.0309816358826407,False,False,0,1,-0.0029940119760478,0.0,-0.0029940119760478,0.5,-0.1
2023-03-04,validation,1,1,sarimax_exog,-0.0277692746731666,0.2673653952883257,-0.0311179307695361,False,False,0,1,-0.0067264573991031,0.0,-0.0067264573991031,0.5,-0.1
2023-03-05,validation,1,1,sarimax_exog,-0.0279497983189431,0.2660392241667944,-0.0308760675087558,False,False,0,1,-0.0052316890881913,0.0,-0.0052316890881913,0.5,-0.1
2023-03-06,validation,1,1,sarimax_exog,-0.0283955128149243,0.2627792265446407,-0.0327857920280625,False,False,0,1,-0.0052356020942407,0.0,-0.0052356020942407,0.5,-0.1
2023-03-07,validation,1,1,sarimax_exog,-0.0280965343383448,0.264963725426794,-0.0332247459299459,False,False,0,1,-0.0037481259370314,0.0,-0.0037481259370314,0.5,-0.1
2023-03-08,validation,1,1,sarimax_exog,-0.0290692815142829,0.2578903026345115,-0.0320748061862137,False,False,0,1,-0.0022539444027047,0.0,-0.0022539444027047,0.5,-0.1
2023-03-09,validation,1,1,sarimax_exog,-0.028820511494871,0.259689887985252,-0.0316962710664179,False,False,0,1,-0.0022539444027047,0.0,-0.0022539444027047,0.5,-0.1
2023-03-10,validation,1,1,sarimax_exog,-0.0290751453225583,0.2578479624378977,-0.0324344817181592,False,False,0,1,-0.0015026296018031,0.0,-0.0015026296018031,0.5,-0.1
2023-03-11,validation,1,1,sarimax_exog,-0.0290019338524895,0.2583768514821144,-0.0328625327774756,False,False,0,1,-0.0059880239520958,0.0,-0.0059880239520958,0.5,-0.1
2023-03-12,validation,1,1,sarimax_exog,-0.0290681654766823,0.2578983615009049,-0.0341265852191455,False,False,0,1,-0.0059880239520958,0.0,-0.0059880239520958,0.5,-0.1
2023-03-13,validation,1,1,sarimax_exog,-0.0287803561227174,0.259980975582503,-0.0346852026422407,False,False,0,1,-0.0067214339058999,0.0,-0.0067214339058999,0.5,-0.1
2023-03-14,validation,1,1,sarimax_exog,-0.0233305819693813,0.3009846265709002,-0.0341659698609543,False,False,0,1,-0.0067214339058999,0.0,-0.0067214339058999,0.5,-0.1
2023-03-15,validation,1,1,sarimax_exog,-0.0301208977117786,0.2503550872744637,-0.0343783768552962,False,False,0,1,-0.0097087378640776,0.0,-0.0097087378640776,0.5,-0.1
