model,horizon_days,fold,phase,mae,rmse,directional_accuracy,pinball_loss
lightgbm_mean,21,4,test,0.055698512922351534,0.06621361986207129,0.6491228070175439,
xgboost_mean,21,4,test,0.05208731310019687,0.06393217044753943,0.6783625730994152,
catboost_mean,21,4,test,0.054180221491787625,0.0660763715310778,0.6023391812865497,
sklearn_gbr_q05,21,4,test,,,,0.010605841627794106
sklearn_gbr_q10,21,4,test,,,,0.017276786027426452
sklearn_gbr_q50,21,4,test,,,,0.028418058183440252
sklearn_gbr_q90,21,4,test,,,,0.013746023132128684
lightgbm_q10,21,4,test,,,,0.02384983896954163
catboost_q10,21,4,test,,,,0.02346515377786749
ridge,63,1,validation,0.0751640803351884,0.08586646889698739,0.4136986301369863,
elastic_net,63,1,validation,0.060233656759700265,0.07025585463793683,0.41643835616438357,
random_forest,63,1,validation,0.034911500234652566,0.0454603512867462,0.4794520547945205,
lightgbm_mean,63,1,validation,0.040546264479609614,0.05087442824504612,0.4767123287671233,
xgboost_mean,63,1,validation,0.039468818170130565,0.047648139791438414,0.4794520547945205,
catboost_mean,63,1,validation,0.03586544638417593,0.04470016792090606,0.4794520547945205,
sklearn_gbr_q05,63,1,validation,,,,0.003062553672114388
sklearn_gbr_q10,63,1,validation,,,,0.004783840645655711
sklearn_gbr_q50,63,1,validation,,,,0.01699827464642061
sklearn_gbr_q90,63,1,validation,,,,0.012137885853768966
lightgbm_q10,63,1,validation,,,,0.005329129524122805
catboost_q10,63,1,validation,,,,0.004319504363834637
ridge,63,2,validation,0.06693583676046976,0.0818836116910477,0.3879781420765027,
elastic_net,63,2,validation,0.05869780660553558,0.07051066318378707,0.48360655737704916,
random_forest,63,2,validation,0.05305171379545585,0.073073724677698,0.46994535519125685,
lightgbm_mean,63,2,validation,0.05512519683832056,0.07345510376228258,0.3251366120218579,
xgboost_mean,63,2,validation,0.052585767368478226,0.07185642567475277,0.4562841530054645,
catboost_mean,63,2,validation,0.05051884388409778,0.07142690273507067,0.5519125683060109,
