date,phase,horizon_days,fold,selected_model,ensemble_return_forecast,prob_positive,q10_floor_return,buy_signal,buy_signal_any,signal_count_per_fold,fold_count,avg_actual_return,strategy_return,actual_net_return,prob_threshold,q10_floor
2025-07-12,test,63,3,catboost_mean,-0.061002607932572,0.29857199603688,-0.0675949873371272,False,False,0,1,0.0543209876543209,0.0,0.0543209876543209,0.5,-0.1
2025-07-13,test,63,3,catboost_mean,-0.0597932849889678,0.3022170101775935,-0.0685288322057682,False,False,0,1,0.0543209876543209,0.0,0.0543209876543209,0.5,-0.1
2025-07-14,test,63,3,catboost_mean,-0.0598442070831952,0.3020631240292142,-0.0679787790442703,False,False,0,1,0.0584362139917695,0.0,0.0584362139917695,0.5,-0.1
2025-07-15,test,63,3,catboost_mean,-0.0585204120866959,0.3060749926822558,-0.0707479002341432,False,False,0,1,0.0759702725020643,0.0,0.0759702725020643,0.5,-0.1
2025-07-16,test,63,3,catboost_mean,-0.0610389677231581,0.298462714419004,-0.0726389376233625,False,False,0,1,0.0804311774461028,0.0,0.0804311774461028,0.5,-0.1
2025-07-17,test,63,3,catboost_mean,-0.0586532919940172,0.3056712264149324,-0.0685946707379249,False,False,0,1,0.077943615257048,0.0,0.077943615257048,0.5,-0.1
2025-07-18,test,63,3,catboost_mean,-0.0664926487156412,0.2822817561738745,-0.0861744259071698,False,False,0,1,0.0743801652892561,0.0,0.0743801652892561,0.5,-0.1
2025-07-19,test,63,3,catboost_mean,-0.0665979748982131,0.2819734548985977,-0.0842507977005058,False,False,0,1,0.0808580858085807,0.0,0.0808580858085807,0.5,-0.1
2025-07-20,test,63,3,catboost_mean,-0.0649284836009779,0.2868792247862699,-0.0851892912004815,False,False,0,1,0.0808580858085807,0.0,0.0808580858085807,0.5,-0.1
2025-07-21,test,63,3,catboost_mean,-0.06411536427338,0.2892831182105464,-0.0841142617347806,False,False,0,1,0.0831275720164608,0.0,0.0831275720164608,0.5,-0.1
2025-07-22,test,63,3,catboost_mean,-0.0594526617420717,0.3032472743016882,-0.0806922326170797,False,False,0,1,0.0901639344262295,0.0,0.0901639344262295,0.5,-0.1
2025-07-23,test,63,3,catboost_mean,-0.0594752303858111,0.3031789636317192,-0.0769131320619091,False,False,0,1,0.0847595762021189,0.0,0.0847595762021189,0.5,-0.1
2025-07-24,test,63,3,catboost_mean,-0.0660839992378717,0.2834794510304634,-0.0829432265247892,False,False,0,1,0.0887428101889893,0.0,0.0887428101889893,0.5,-0.1
2025-07-25,test,63,3,catboost_mean,-0.0634462283492475,0.2912684145414669,-0.082444504741362,False,False,0,1,0.0887428101889893,0.0,0.0887428101889893,0.5,-0.1
2025-07-26,test,63,3,catboost_mean,-0.0635711029689038,0.290897434816679,-0.0848636184654506,False,False,0,1,0.0982658959537572,0.0,0.0982658959537572,0.5,-0.1
2025-07-27,test,63,3,catboost_mean,-0.0635711029689038,0.290897434816679,-0.0849254102888975,False,False,0,1,0.0982658959537572,0.0,0.0982658959537572,0.5,-0.1
2025-07-28,test,63,3,catboost_mean,-0.0611407927584669,0.2981567698220579,-0.0820463650444487,False,False,0,1,0.1106523534269199,0.0,0.1106523534269199,0.5,-0.1
2025-07-29,test,63,3,catboost_mean,-0.072600839616988,0.264675721884077,-0.0901348123273865,False,False,0,1,0.1122112211221122,0.0,0.1122112211221122,0.5,-0.1
2025-07-30,test,63,3,catboost_mean,-0.0677983543130212,0.2784713184090128,-0.0828962005407085,False,False,0,1,0.1226337448559671,0.0,0.1226337448559671,0.5,-0.1
2025-07-31,test,63,3,catboost_mean,-0.072232161797755,0.2657223389436578,-0.0908965111763014,False,False,0,1,0.1202635914332783,0.0,0.1202635914332783,0.5,-0.1
2025-08-01,test,63,3,catboost_mean,-0.0695633649026509,0.2733606624741598,-0.0903316298608998,False,False,0,1,0.1186161449752882,0.0,0.1186161449752882,0.5,-0.1
2025-08-02,test,63,3,catboost_mean,-0.0630022322325139,0.2925892312041211,-0.0814975046063814,False,False,0,1,0.1060728744939272,0.0,0.1060728744939272,0.5,-0.1
2025-08-03,test,63,3,catboost_mean,-0.0653087573464239,0.2857582472591125,-0.0807316022117151,False,False,0,1,0.1060728744939272,0.0,0.1060728744939272,0.5,-0.1
2025-08-04,test,63,3,catboost_mean,-0.0702300935862682,0.2714422829819569,-0.0890289030985631,False,False,0,1,0.1200324412003244,0.0,0.1200324412003244,0.5,-0.1
2025-08-05,test,63,3,catboost_mean,-0.0693126861462285,0.2740836736031896,-0.085170155106885,False,False,0,1,0.1195476575121163,0.0,0.1195476575121163,0.5,-0.1
2025-08-06,test,63,3,catboost_mean,-0.0665344178148828,0.2821594740381327,-0.0825383770333647,False,False,0,1,0.1348949919224555,0.0,0.1348949919224555,0.5,-0.1
2025-08-07,test,63,3,catboost_mean,-0.0681273684380281,0.277515125263402,-0.0845934967017797,False,False,0,1,0.1348949919224555,0.0,0.1348949919224555,0.5,-0.1
2025-08-08,test,63,3,catboost_mean,-0.0665472965641601,0.2821217756884497,-0.0824089058676381,False,False,0,1,0.1270096463022507,0.0,0.1270096463022507,0.5,-0.1
2025-08-09,test,63,3,catboost_mean,-0.0677313562528968,0.2786662272073223,-0.0808175805885497,False,False,0,1,0.1318327974276527,0.0,0.1318327974276527,0.5,-0.1
2025-08-10,test,63,3,catboost_mean,-0.0701949180401959,0.2715433258075617,-0.0817310657318963,False,False,0,1,0.1318327974276527,0.0,0.1318327974276527,0.5,-0.1
2025-08-11,test,63,3,catboost_mean,-0.0679169827666898,0.2781263709828705,-0.0828342367309533,False,False,0,1,0.1468926553672316,0.0,0.1468926553672316,0.5,-0.1
2025-08-12,test,63,3,catboost_mean,-0.0730897695375845,0.2632909696615408,-0.0894679648070564,False,False,0,1,0.1630347054075867,0.0,0.1630347054075867,0.5,-0.1
2025-08-13,test,63,3,catboost_mean,-0.0741748058160055,0.260231190652456,-0.0926642754376552,False,False,0,1,0.1755233494363928,0.0,0.1755233494363928,0.5,-0.1
2025-08-14,test,63,3,catboost_mean,-0.0745854396349676,0.259078010428095,-0.0928393499413117,False,False,0,1,0.1796311146752205,0.0,0.1796311146752205,0.5,-0.1
2025-08-15,test,63,3,catboost_mean,-0.0769101113808039,0.2525998237514837,-0.0982453936939495,False,False,0,1,0.2168674698795181,0.0,0.2168674698795181,0.5,-0.1
2025-08-16,test,63,3,catboost_mean,-0.0766219004587252,0.2533983242575355,-0.1029690872580968,False,False,0,1,0.2008032128514056,0.0,0.2008032128514056,0.5,-0.1
2025-08-17,test,63,3,catboost_mean,-0.0766211544730527,0.253400392762277,-0.1030157345528756,False,False,0,1,0.2008032128514056,0.0,0.2008032128514056,0.5,-0.1
2025-08-18,test,63,3,catboost_mean,-0.0777510458755156,0.2502775765463004,-0.1033882077477198,False,False,0,1,0.2039999999999999,0.0,0.2039999999999999,0.5,-0.1
2025-08-19,test,63,3,catboost_mean,-0.0749376610106344,0.2580909789427146,-0.1078275918872864,False,False,0,1,0.2119999999999999,0.0,0.2119999999999999,0.5,-0.1
2025-08-20,test,63,3,catboost_mean,-0.0911156258641126,0.2149379465835259,-0.10901469322873,False,False,0,1,0.1746794871794872,0.0,0.1746794871794872,0.5,-0.1
