date,phase,horizon_days,fold,selected_model,ensemble_return_forecast,prob_positive,q10_floor_return,buy_signal,buy_signal_any,signal_count_per_fold,fold_count,avg_actual_return,strategy_return,actual_net_return,prob_threshold,q10_floor
2023-01-10,validation,105,1,random_forest,-0.0119290252250752,0.4583781727156206,-0.0235340831133575,False,False,0,1,-0.0082212257100149,0.0,-0.0082212257100149,0.5,-0.1
2023-01-11,validation,21,1,sarimax_exog,-0.0083634428520881,0.4063961803302339,-0.0319447019174801,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-01-11,validation,63,1,catboost_mean,-0.0157626931886715,0.4456876326235819,-0.0240491352595572,False,False,0,1,-0.0104555638536221,0.0,-0.0104555638536221,0.5,-0.1
2023-01-11,validation,105,1,random_forest,-0.0120367027653347,0.4580038572491055,-0.0233646046064937,False,False,0,1,-0.0089619118745332,0.0,-0.0089619118745332,0.5,-0.1
2023-01-12,validation,21,1,sarimax_exog,-0.0092761789516034,0.3964021075611476,-0.0314640456044256,False,False,0,1,0.0,0.0,0.0,0.5,-0.1
2023-01-12,validation,63,1,catboost_mean,-0.0171622685177091,0.4408992051691558,-0.0237124695935516,False,False,0,1,-0.0111940298507462,0.0,-0.0111940298507462,0.5,-0.1
2023-01-12,validation,105,1,random_forest,-0.0122925168429662,0.4571147301419064,-0.023380805053412,False,False,0,1,-0.0097014925373134,0.0,-0.0097014925373134,0.5,-0.1
2023-01-13,validation,21,1,sarimax_exog,-0.0095914606504756,0.3929653052138905,-0.0320927142645679,False,False,0,1,-0.0089153046062406,0.0,-0.0089153046062406,0.5,-0.1
2023-01-13,validation,63,1,catboost_mean,-0.0189796838318894,0.4346941781781493,-0.0216158468076551,False,False,0,1,-0.0126300148588409,0.0,-0.0126300148588409,0.5,-0.1
2023-01-13,validation,105,1,random_forest,-0.0122925168429662,0.4571147301419064,-0.0256491168207542,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-01-14,validation,21,1,sarimax_exog,-0.0100024325054002,0.3884979440940282,-0.029577009874939,False,False,0,1,-0.0148367952522254,0.0,-0.0148367952522254,0.5,-0.1
2023-01-14,validation,63,1,catboost_mean,-0.0198806417912204,0.431623979121476,-0.0245564393081017,False,False,0,1,-0.0118694362017803,0.0,-0.0118694362017803,0.5,-0.1
2023-01-14,validation,105,1,random_forest,-0.0104684883278593,0.4634588928920367,-0.0290370273471881,False,False,0,1,-0.0155786350148368,0.0,-0.0155786350148368,0.5,-0.1
2023-01-15,validation,21,1,sarimax_exog,-0.0103422643502693,0.3848149712945141,-0.030131894513709,False,False,0,1,-0.0148367952522254,0.0,-0.0148367952522254,0.5,-0.1
2023-01-15,validation,63,1,catboost_mean,-0.0186783130250678,0.4357220501475758,-0.0240161376752366,False,False,0,1,-0.0118694362017803,0.0,-0.0118694362017803,0.5,-0.1
2023-01-15,validation,105,1,random_forest,-0.0116876420924475,0.4592174176365398,-0.0301700058153428,False,False,0,1,-0.0155786350148368,0.0,-0.0155786350148368,0.5,-0.1
2023-01-16,validation,21,1,sarimax_exog,-0.0107816436558381,0.3800685479231841,-0.029043706964427,False,False,0,1,-0.0119047619047618,0.0,-0.0119047619047618,0.5,-0.1
2023-01-16,validation,63,1,catboost_mean,-0.0196842540223019,0.4322928654299387,-0.024262970560563,False,False,0,1,-0.0044642857142856,0.0,-0.0044642857142856,0.5,-0.1
2023-01-16,validation,105,1,random_forest,-0.0116876420924475,0.4592174176365398,-0.0302923502488486,False,False,0,1,-0.0126488095238095,0.0,-0.0126488095238095,0.5,-0.1
2023-01-17,validation,21,1,sarimax_exog,-0.0078118664237249,0.4124658562316095,-0.0337512941196224,False,False,0,1,-0.0111441307578008,0.0,-0.0111441307578008,0.5,-0.1
2023-01-17,validation,63,1,catboost_mean,-0.0126928244264516,0.4562175342410277,-0.0250308409858868,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-17,validation,105,1,random_forest,-0.0123910709363908,0.4567722449732637,-0.0276620274559491,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-01-18,validation,21,1,sarimax_exog,-0.0107862890636845,0.3800184605649168,-0.033184624640252,False,False,0,1,-0.0089153046062406,0.0,-0.0089153046062406,0.5,-0.1
2023-01-18,validation,63,1,catboost_mean,-0.0177069073639178,0.4390381023158701,-0.0289906039308694,False,False,0,1,-0.0126300148588409,0.0,-0.0126300148588409,0.5,-0.1
2023-01-18,validation,105,1,random_forest,-0.0135116706075544,0.4528803702080415,-0.0262667592617482,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-01-19,validation,21,1,sarimax_exog,-0.0107555780494877,0.3803496277807979,-0.0340429794575213,False,False,0,1,-0.0111441307578008,0.0,-0.0111441307578008,0.5,-0.1
2023-01-19,validation,63,1,catboost_mean,-0.0171732646627551,0.4408616168332375,-0.0278318295645272,False,False,0,1,-0.0111441307578008,0.0,-0.0111441307578008,0.5,-0.1
2023-01-19,validation,105,1,random_forest,-0.0121995339224463,0.4574378841453574,-0.0284789693009205,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-01-20,validation,21,1,sarimax_exog,-0.0109423257848861,0.3783372274243632,-0.0371546934904751,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-20,validation,63,1,catboost_mean,-0.0172513424919977,0.4405947372167605,-0.0279948934233017,False,False,0,1,-0.0096582466567607,0.0,-0.0096582466567607,0.5,-0.1
2023-01-20,validation,105,1,random_forest,-0.0121995339224463,0.4574378841453574,-0.0294424853054793,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-21,validation,21,1,sarimax_exog,-0.0112345015129621,0.3751953599956651,-0.037324268740652,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-21,validation,63,1,catboost_mean,-0.0170736344436709,0.4412022041582115,-0.0280073618148196,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-21,validation,105,1,random_forest,-0.0121995339224463,0.4574378841453574,-0.0296136055796096,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-01-22,validation,21,1,sarimax_exog,-0.0114385831399472,0.3730056864528235,-0.0356920367708307,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-22,validation,63,1,catboost_mean,-0.020648552471677,0.4290104151397734,-0.0281679141677686,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-22,validation,105,1,random_forest,-0.0121995339224463,0.4574378841453574,-0.030211517846891,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-01-23,validation,21,1,sarimax_exog,-0.0116099772340843,0.3711698913948145,-0.0346648151136668,False,False,0,1,-0.0126300148588409,0.0,-0.0126300148588409,0.5,-0.1
2023-01-23,validation,63,1,catboost_mean,-0.0205357526898313,0.4293941341515817,-0.0285789879755206,False,False,0,1,-0.0096582466567607,0.0,-0.0096582466567607,0.5,-0.1
2023-01-23,validation,105,1,random_forest,-0.0137629730263612,0.4520081972320707,-0.0297606086811177,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-24,validation,21,1,sarimax_exog,-0.0084488257557143,0.4054585747505548,-0.0351365104804331,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-24,validation,63,1,catboost_mean,-0.0146621905685072,0.449458437596865,-0.0266467258470972,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-24,validation,105,1,random_forest,-0.0150639721808167,0.4474967300607759,-0.0280788546320319,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-25,validation,21,1,sarimax_exog,-0.0111341118506751,0.3762739634859852,-0.0347262740303008,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-25,validation,63,1,catboost_mean,-0.0213139753898591,0.4267481756473581,-0.0258622891696731,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-25,validation,105,1,random_forest,-0.0162775547725002,0.4432944994830656,-0.0294549562434368,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-26,validation,21,1,sarimax_exog,-0.0116161204423886,0.3711041458463592,-0.0356266622158032,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-26,validation,63,1,catboost_mean,-0.0212079004874061,0.4271086392949138,-0.0256094718505248,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-26,validation,105,1,random_forest,-0.0180273014786267,0.43724704173282,-0.0289265729215891,False,False,0,1,-0.0096582466567607,0.0,-0.0096582466567607,0.5,-0.1
2023-01-27,validation,21,1,sarimax_exog,-0.0110772923058823,0.3768848713795155,-0.0320718709177821,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-27,validation,63,1,catboost_mean,-0.0192863498171955,0.4336486991304684,-0.0253578525342873,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-27,validation,105,1,random_forest,-0.0179994008227374,0.4373433606361813,-0.0297602238542002,False,False,0,1,-0.0111441307578008,0.0,-0.0111441307578008,0.5,-0.1
2023-01-28,validation,21,1,sarimax_exog,-0.0112508099022531,0.3750202317575506,-0.0351190089638211,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-28,validation,63,1,catboost_mean,-0.0205940388765201,0.429195849546104,-0.0257716421185511,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-28,validation,105,1,random_forest,-0.0194762553386573,0.4322501923297763,-0.0295934499320432,False,False,0,1,-0.0111441307578008,0.0,-0.0111441307578008,0.5,-0.1
2023-01-29,validation,21,1,sarimax_exog,-0.0115023105399415,0.3723227655471317,-0.0365629181674425,False,False,0,1,-0.0118870728083209,0.0,-0.0118870728083209,0.5,-0.1
2023-01-29,validation,63,1,catboost_mean,-0.0205940388765201,0.429195849546104,-0.0257513961291863,False,False,0,1,-0.0104011887072807,0.0,-0.0104011887072807,0.5,-0.1
2023-01-29,validation,105,1,random_forest,-0.0194762553386573,0.4322501923297763,-0.0295868612437792,False,False,0,1,-0.0111441307578008,0.0,-0.0111441307578008,0.5,-0.1
2023-01-30,validation,21,1,sarimax_exog,-0.011435358309674,0.3730402552798673,-0.0383267817304083,False,False,0,1,-0.017725258493353,0.0,-0.017725258493353,0.5,-0.1
2023-01-30,validation,63,1,catboost_mean,-0.0201564709848306,0.4306848509234766,-0.0241475426843704,False,False,0,1,-0.0162481536189069,0.0,-0.0162481536189069,0.5,-0.1
2023-01-30,validation,105,1,random_forest,-0.0196568917516782,0.4316279933117581,-0.0298406868504137,False,False,0,1,-0.0155096011816838,0.0,-0.0155096011816838,0.5,-0.1
2023-01-31,validation,21,1,sarimax_exog,-0.0112565592838626,0.3749584979523501,-0.0382232712144655,False,False,0,1,-0.0162721893491124,0.0,-0.0162721893491124,0.5,-0.1
2023-01-31,validation,63,1,catboost_mean,-0.0208041955374876,0.4284810633003617,-0.023758727167713,False,False,0,1,-0.0170118343195265,0.0,-0.0170118343195265,0.5,-0.1
2023-01-31,validation,105,1,random_forest,-0.019427739330499,0.4324173335809059,-0.0314297511283616,False,False,0,1,-0.0155325443786982,0.0,-0.0155325443786982,0.5,-0.1
2023-02-01,validation,21,1,sarimax_exog,-0.0114735214086578,0.3726312284760321,-0.0359709925130051,False,False,0,1,-0.016320474777448,0.0,-0.016320474777448,0.5,-0.1
2023-02-01,validation,63,1,catboost_mean,-0.0205877929634588,0.4292170967526285,-0.0229216908811841,False,False,0,1,-0.0126112759643917,0.0,-0.0126112759643917,0.5,-0.1
2023-02-01,validation,105,1,random_forest,-0.0182361487197087,0.4365261758457109,-0.0289624341542515,False,False,0,1,-0.0133531157270029,0.0,-0.0133531157270029,0.5,-0.1
2023-02-02,validation,21,1,sarimax_exog,-0.0109768681877209,0.3779653567905379,-0.035725606949639,False,False,0,1,-0.0221238938053097,0.0,-0.0221238938053097,0.5,-0.1
2023-02-02,validation,63,1,catboost_mean,-0.0201857559446408,0.430585166007245,-0.0237877353470959,False,False,0,1,-0.019174041297935,0.0,-0.019174041297935,0.5,-0.1
2023-02-02,validation,105,1,random_forest,-0.0190417706822742,0.4337474526640418,-0.0321190468843627,False,False,0,1,-0.0184365781710914,0.0,-0.0184365781710914,0.5,-0.1
2023-02-03,validation,21,1,sarimax_exog,-0.0103247898222053,0.3850041037025153,-0.0312670979261524,False,False,0,1,-0.0177777777777777,0.0,-0.0177777777777777,0.5,-0.1
2023-02-03,validation,63,1,catboost_mean,-0.0206634112180991,0.4289598740814253,-0.0237239177438628,False,False,0,1,-0.0155555555555555,0.0,-0.0155555555555555,0.5,-0.1
2023-02-03,validation,105,1,random_forest,-0.0201809223636485,0.4298239438834756,-0.0368441215305173,False,False,0,1,-0.0125925925925926,0.0,-0.0125925925925926,0.5,-0.1
2023-02-04,validation,21,1,sarimax_exog,-0.0107296487332161,0.3806293006451072,-0.0319060077359187,False,False,0,1,-0.0192878338278932,0.0,-0.0192878338278932,0.5,-0.1
2023-02-04,validation,63,1,catboost_mean,-0.0201458640924703,0.4307209574812972,-0.0240578603173085,False,False,0,1,-0.0148367952522254,0.0,-0.0148367952522254,0.5,-0.1
2023-02-04,validation,105,1,random_forest,-0.0201809223636485,0.4298239438834756,-0.0316744161658849,False,False,0,1,-0.0103857566765578,0.0,-0.0103857566765578,0.5,-0.1
2023-02-05,validation,21,1,sarimax_exog,-0.0108969047016414,0.3788263853867115,-0.0332948147763839,False,False,0,1,-0.0192878338278932,0.0,-0.0192878338278932,0.5,-0.1
2023-02-05,validation,63,1,catboost_mean,-0.0203298378558889,0.4300947810613338,-0.0240377937988384,False,False,0,1,-0.0148367952522254,0.0,-0.0148367952522254,0.5,-0.1
2023-02-05,validation,105,1,random_forest,-0.0196568917516782,0.4316279933117581,-0.026402002669712,False,False,0,1,-0.0103857566765578,0.0,-0.0103857566765578,0.5,-0.1
