available_from,date,domain,frequency,release_date,series_id,series_name,source,unit,value
2025-06-06,2010-01-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,321.619085
2025-06-06,2010-01-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,23.282682
2025-06-06,2010-01-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,6062.070113
2025-06-06,2010-01-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,160.35
2025-06-06,2010-01-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,481.96
2025-06-06,2010-02-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,259.316955
2025-06-06,2010-02-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,16.361087
2025-06-06,2010-02-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,5113.198722
2025-06-06,2010-02-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,162.43
2025-06-06,2010-02-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,496.91
2025-06-06,2010-03-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,412.127754
2025-06-06,2010-03-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,23.322222
2025-06-06,2010-03-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,6810.267699
2025-06-06,2010-03-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,160.55
2025-06-06,2010-03-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,499.24
2025-06-06,2010-04-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,491.579988
2025-06-06,2010-04-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,26.619102
2025-06-06,2010-04-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,6679.582242
2025-06-06,2010-04-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,179.69
2025-06-06,2010-04-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,542.37
2025-06-06,2010-05-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,514.187773
2025-06-06,2010-05-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,27.975154
2025-06-06,2010-05-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,7206.588079
2025-06-06,2010-05-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,163.6
2025-06-06,2010-05-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,507.44
2025-06-06,2010-06-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,481.690583
2025-06-06,2010-06-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,26.187603
2025-06-06,2010-06-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,7070.812725
2025-06-06,2010-06-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,158.81
2025-06-06,2010-06-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,507.14
2025-06-06,2010-07-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,456.052987
2025-06-06,2010-07-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,29.041157
2025-06-06,2010-07-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,7097.465316
2025-06-06,2010-07-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,153.33
2025-06-06,2010-07-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,493.91
2025-06-06,2010-08-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,441.312553
2025-06-06,2010-08-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,27.987803
2025-06-06,2010-08-01,MET,M,2025-06-06,TMG_CIF_USD,total_imports_cif_m_usd,gso_macro_monitor_curated,M_USD,7422.263909
2025-06-06,2010-08-01,SPI,M,2025-06-06,VNM_HNX_EOP_IX,hnx_index_eop,gso_macro_monitor_curated,index,128.4
2025-06-06,2010-08-01,SPI,M,2025-06-06,VNM_VN_EOP_IX,vnindex_eop,gso_macro_monitor_curated,index,455.08
2025-06-06,2010-09-01,MET,M,2025-06-06,TMGIOT_CIF_USD,imports_all_cif_m_usd,gso_macro_monitor_curated,M_USD,456.195385
2025-06-06,2010-09-01,MET,M,2025-06-06,TMGISO_CIF_USD,imports_direct_m_usd,gso_macro_monitor_curated,M_USD,29.66493
