asset,available_from,date,note,series_id,source,unit,value
geopolitical_risk_proxy_vix,2010-02-18,2010-02-18,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,20.63
geopolitical_risk_proxy_vix,2010-02-19,2010-02-19,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,20.02
geopolitical_risk_proxy_vix,2010-02-22,2010-02-22,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,19.94
geopolitical_risk_proxy_vix,2010-02-23,2010-02-23,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,21.37
geopolitical_risk_proxy_vix,2010-02-24,2010-02-24,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,20.27
geopolitical_risk_proxy_vix,2010-02-25,2010-02-25,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,20.1
geopolitical_risk_proxy_vix,2010-02-26,2010-02-26,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,19.5
geopolitical_risk_proxy_vix,2010-03-01,2010-03-01,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,19.26
geopolitical_risk_proxy_vix,2010-03-02,2010-03-02,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,19.06
geopolitical_risk_proxy_vix,2010-03-03,2010-03-03,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.83
geopolitical_risk_proxy_vix,2010-03-04,2010-03-04,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.72
geopolitical_risk_proxy_vix,2010-03-05,2010-03-05,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.42
geopolitical_risk_proxy_vix,2010-03-08,2010-03-08,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.79
geopolitical_risk_proxy_vix,2010-03-09,2010-03-09,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.92
geopolitical_risk_proxy_vix,2010-03-10,2010-03-10,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.57
geopolitical_risk_proxy_vix,2010-03-11,2010-03-11,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.06
geopolitical_risk_proxy_vix,2010-03-12,2010-03-12,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.58
geopolitical_risk_proxy_vix,2010-03-15,2010-03-15,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.0
geopolitical_risk_proxy_vix,2010-03-16,2010-03-16,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.69
geopolitical_risk_proxy_vix,2010-03-17,2010-03-17,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.91
geopolitical_risk_proxy_vix,2010-03-18,2010-03-18,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.62
geopolitical_risk_proxy_vix,2010-03-19,2010-03-19,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.97
geopolitical_risk_proxy_vix,2010-03-22,2010-03-22,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.87
geopolitical_risk_proxy_vix,2010-03-23,2010-03-23,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.35
geopolitical_risk_proxy_vix,2010-03-24,2010-03-24,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.55
geopolitical_risk_proxy_vix,2010-03-25,2010-03-25,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.4
geopolitical_risk_proxy_vix,2010-03-26,2010-03-26,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.77
geopolitical_risk_proxy_vix,2010-03-29,2010-03-29,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.59
geopolitical_risk_proxy_vix,2010-03-30,2010-03-30,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.13
geopolitical_risk_proxy_vix,2010-03-31,2010-03-31,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.59
geopolitical_risk_proxy_vix,2010-04-01,2010-04-01,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.47
geopolitical_risk_proxy_vix,2010-04-05,2010-04-05,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.02
geopolitical_risk_proxy_vix,2010-04-06,2010-04-06,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.23
geopolitical_risk_proxy_vix,2010-04-07,2010-04-07,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.62
geopolitical_risk_proxy_vix,2010-04-08,2010-04-08,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.48
geopolitical_risk_proxy_vix,2010-04-09,2010-04-09,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.14
geopolitical_risk_proxy_vix,2010-04-12,2010-04-12,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,15.58
geopolitical_risk_proxy_vix,2010-04-13,2010-04-13,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.2
geopolitical_risk_proxy_vix,2010-04-14,2010-04-14,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,15.59
geopolitical_risk_proxy_vix,2010-04-15,2010-04-15,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,15.89
geopolitical_risk_proxy_vix,2010-04-16,2010-04-16,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.36
geopolitical_risk_proxy_vix,2010-04-19,2010-04-19,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.34
geopolitical_risk_proxy_vix,2010-04-20,2010-04-20,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,15.73
geopolitical_risk_proxy_vix,2010-04-21,2010-04-21,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.32
geopolitical_risk_proxy_vix,2010-04-22,2010-04-22,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.47
geopolitical_risk_proxy_vix,2010-04-23,2010-04-23,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,16.62
geopolitical_risk_proxy_vix,2010-04-26,2010-04-26,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,17.47
geopolitical_risk_proxy_vix,2010-04-27,2010-04-27,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.81
geopolitical_risk_proxy_vix,2010-04-28,2010-04-28,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,21.08
geopolitical_risk_proxy_vix,2010-04-29,2010-04-29,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,18.44
geopolitical_risk_proxy_vix,2010-04-30,2010-04-30,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.05
geopolitical_risk_proxy_vix,2010-05-03,2010-05-03,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,20.19
geopolitical_risk_proxy_vix,2010-05-04,2010-05-04,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,23.84
geopolitical_risk_proxy_vix,2010-05-05,2010-05-05,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.91
geopolitical_risk_proxy_vix,2010-05-06,2010-05-06,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,32.8
geopolitical_risk_proxy_vix,2010-05-07,2010-05-07,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,40.95
geopolitical_risk_proxy_vix,2010-05-10,2010-05-10,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,28.84
geopolitical_risk_proxy_vix,2010-05-11,2010-05-11,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,28.32
geopolitical_risk_proxy_vix,2010-05-12,2010-05-12,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.52
geopolitical_risk_proxy_vix,2010-05-13,2010-05-13,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,26.68
geopolitical_risk_proxy_vix,2010-05-14,2010-05-14,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,31.24
geopolitical_risk_proxy_vix,2010-05-17,2010-05-17,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,30.84
geopolitical_risk_proxy_vix,2010-05-18,2010-05-18,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,33.55
geopolitical_risk_proxy_vix,2010-05-19,2010-05-19,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,35.32
geopolitical_risk_proxy_vix,2010-05-20,2010-05-20,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,45.79
geopolitical_risk_proxy_vix,2010-05-21,2010-05-21,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,40.1
geopolitical_risk_proxy_vix,2010-05-24,2010-05-24,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,38.32
geopolitical_risk_proxy_vix,2010-05-25,2010-05-25,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,34.61
geopolitical_risk_proxy_vix,2010-05-26,2010-05-26,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,35.02
geopolitical_risk_proxy_vix,2010-05-27,2010-05-27,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,29.68
geopolitical_risk_proxy_vix,2010-05-28,2010-05-28,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,32.07
geopolitical_risk_proxy_vix,2010-06-01,2010-06-01,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,35.54
geopolitical_risk_proxy_vix,2010-06-02,2010-06-02,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,30.17
geopolitical_risk_proxy_vix,2010-06-03,2010-06-03,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,29.46
geopolitical_risk_proxy_vix,2010-06-04,2010-06-04,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,35.48
geopolitical_risk_proxy_vix,2010-06-07,2010-06-07,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,36.57
geopolitical_risk_proxy_vix,2010-06-08,2010-06-08,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,33.7
geopolitical_risk_proxy_vix,2010-06-09,2010-06-09,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,33.73
geopolitical_risk_proxy_vix,2010-06-10,2010-06-10,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,30.57
geopolitical_risk_proxy_vix,2010-06-11,2010-06-11,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,28.79
geopolitical_risk_proxy_vix,2010-06-14,2010-06-14,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,28.58
geopolitical_risk_proxy_vix,2010-06-15,2010-06-15,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.87
geopolitical_risk_proxy_vix,2010-06-16,2010-06-16,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.92
geopolitical_risk_proxy_vix,2010-06-17,2010-06-17,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.05
geopolitical_risk_proxy_vix,2010-06-18,2010-06-18,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,23.95
geopolitical_risk_proxy_vix,2010-06-21,2010-06-21,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.88
geopolitical_risk_proxy_vix,2010-06-22,2010-06-22,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,27.05
geopolitical_risk_proxy_vix,2010-06-23,2010-06-23,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,26.91
geopolitical_risk_proxy_vix,2010-06-24,2010-06-24,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,29.74
