branch,buy,crawl_mode,currency,date,gold_type,provider,raw_hash,reference_date,sell,source,spread,timestamp,unit
Hồ Chí Minh,82200000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,84200000.0,sjc_official,2000000.0,2024-04-11T17:00:00+00:00,VND/lượng
Hồ Chí Minh,82700000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,84700000.0,sjc_official,2000000.0,2024-04-12T01:33:46.423000+00:00,VND/lượng
Hồ Chí Minh,82900000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,84900000.0,sjc_official,2000000.0,2024-04-12T02:10:25.933000+00:00,VND/lượng
Hồ Chí Minh,83000000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,85000000.0,sjc_official,2000000.0,2024-04-12T02:15:32.227000+00:00,VND/lượng
Hồ Chí Minh,82800000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,84800000.0,sjc_official,2000000.0,2024-04-12T07:25:04.757000+00:00,VND/lượng
Hồ Chí Minh,82700000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,84700000.0,sjc_official,2000000.0,2024-04-12T07:46:08.687000+00:00,VND/lượng
Hồ Chí Minh,82500000.0,raw_range,VND,2024-04-12,"Vàng SJC 1L, 10L, 1KG",SJC,717818fda3ad2f760107b90ab88740384e384f01116b1f9e975f293fc2be3106,2024-04-12,84500000.0,sjc_official,2000000.0,2024-04-12T08:08:23.860000+00:00,VND/lượng
