effective_from,effective_to,event_date,event_type,expected_channel,note,scope,severity,source_url
,,2014-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2014: 2014-01-31),domestic_vietnam,high,
,,2014-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2014: 2014-01-31),domestic_vietnam,high,
,,2014-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2014: 2014-01-31),domestic_vietnam,high,
,,2014-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2014: 2014-01-31),domestic_vietnam,high,
,,2015-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,low,
,,2015-02-06,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,low,
,,2015-02-07,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,low,
,,2015-02-08,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,low,
,,2015-02-09,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,low,
,,2015-02-10,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,medium,
,,2015-02-11,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,medium,
,,2015-02-12,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,medium,
,,2015-02-13,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,medium,
,,2015-02-14,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,high,
,,2015-02-15,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,high,
,,2015-02-16,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,high,
,,2015-02-17,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,high,
,,2015-02-18,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,high,
,,2015-02-19,tet_proximity,premium_spike,Tết proximity (Tết 2015: 2015-02-19),domestic_vietnam,high,
,,2016-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,low,
,,2016-01-26,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,low,
,,2016-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,low,
,,2016-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,low,
,,2016-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,low,
,,2016-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,medium,
,,2016-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,medium,
,,2016-02-01,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,medium,
,,2016-02-02,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,medium,
,,2016-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,high,
,,2016-02-04,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,high,
,,2016-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,high,
,,2016-02-06,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,high,
,,2016-02-07,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,high,
,,2016-02-08,tet_proximity,premium_spike,Tết proximity (Tết 2016: 2016-02-08),domestic_vietnam,high,
,,2017-01-14,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,low,
,,2017-01-15,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,low,
,,2017-01-16,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,low,
,,2017-01-17,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,low,
,,2017-01-18,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,low,
,,2017-01-19,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,medium,
,,2017-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,medium,
,,2017-01-21,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,medium,
,,2017-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,medium,
