event_date,published_at,title,event_type,severity,source_url,source_type,confidence,raw_hash,note
2026-07-16,2026-07-16,Giấy mời tham gia đấu thầu vàng,policy_auction,high,https://sbv.gov.vn/vi/gi%E1%BA%A5y-m%E1%BB%9Di-tham-gia-%C4%91%E1%BA%A5u-th%E1%BA%A7u-v%C3%A0ng,official_sbv_article,0.92,7a4c35bc9662ea8b21ef74dce3e9a22113893681fd1477baa71d7b1d0e094483,seed=https://sbv.gov.vn/vi/quan-ly-hoat-dong-ngoai-hoi-va-hoat-dong-kinh-doanh-vang; http_status=200
2026-07-16,2026-07-16,Quản lý hoạt động ngoại hối và hoạt động kinh doanh vàng,gold_sale_policy,medium,https://sbv.gov.vn/vi/quan-ly-hoat-dong-ngoai-hoi-va-hoat-dong-kinh-doanh-vang,official_sbv_article,0.92,c7726576c884fc9cc249a4eba7bb9781328b6e395988c24bd735d2b9ee48a556,seed=https://sbv.gov.vn/vi/; http_status=200
2026-07-16,2026-07-16,Quản lý hoạt động ngoại hối và hoạt động kinh doanh vàng,gold_sale_policy,medium,https://sbv.gov.vn/w/qu%E1%BA%A3n-l%C3%BD-ho%E1%BA%A1t-%C4%91%E1%BB%99ng-ngo%E1%BA%A1i-h%E1%BB%91i-v%C3%A0-ho%E1%BA%A1t-%C4%91%E1%BB%99ng-kinh-doanh-v%C3%A0ng-1/-/categories/83578,official_sbv_article,0.92,46d22c508e1e2e052d5cda3a5fdb54fe59f82dd59a9ebb1b02cf86fcba4afc87,seed=https://sbv.gov.vn/vi/quan-ly-hoat-dong-ngoai-hoi-va-hoat-dong-kinh-doanh-vang; http_status=200
